text,intent
Are there any units left for saree? thanks.,product_availability
Urgent: Can you check if my payment went through? now.,payment_issue
Please Modify the delivery location.,change_address
Please When will the amount reflect in my bank account? please.,refund_status
"Hi, How do I reset my password? thanks.",account_login
"Hi, Why are you charging for delivery? please.",shipping_cost
Why is my payment pending? ASAP.,payment_issue
Can you tell me I want to place a bulk order. thanks.,bulk_order
"Hi, Exchange POLICY? ASAP.",exchange_product
Please Is the saree available in size 10?,product_availability
"Hi, When is the expected delivery? thanks.",delivery_time
I want to know How fast can you deliver to Delhi? now.,delivery_time
Why isn't the OFF39 applying to my cart? ASAP.,coupon_apply
Can you tell me Can I return the jeans I bought next week? please.,return_product
Can you tell me Shipping charges are too high.,shipping_cost
Can you tell me How many months of warranty for kurta?,warranty_info
Please How to add a product review?,product_review
I want to know How to get bulk pricing? thanks.,bulk_order
Can you tell me Can I get it delivered tomorrow?,delivery_time
"Hi, Has the refund been initiated?",refund_status
Update my cart for order ORD8957. please.,order_modify
Bulk discount available?,bulk_order
Leave a comment on the product.,product_review
I want to know I want to return this shoes. now.,return_product
I want to know Can I get a mobile in 9 instead?,exchange_product
Urgent: Corporate order for our office in Bangalore. now.,bulk_order
Urgent: I am tired of talking to a bot. now.,human_escalate
Urgent: What is the estimated delivery time? thanks.,delivery_time
Urgent: Coupon OFF34 says invalid. now.,coupon_apply
Where is my money for order ORD3927?,refund_status
Urgent: Update the address for order ORD5965.,change_address
Can you notify me when perfume is available? please.,product_availability
"Hi, Can I return the shoes I bought next week? now.",return_product
"Hi, My coupon code OFF17 is not working.",coupon_apply
I want to track order ORD7117.,track_order
"Hi, I forgot my password. please.",account_login
"I changed my mind, cancel order ORD4500. ASAP.",cancel_order
Urgent: Why are you charging for delivery?,shipping_cost
Cancel order ORD1179. now.,cancel_order
Can you tell me I need to report an issue with the delivery. now.,complaint_register
"Hi, Is the Chennai branch open on Sunday? now.",store_hours
Check if size 10 is there for shoes.,product_availability
Where can I write a product review? now.,product_review
"Hi, My payment is stuck. ASAP.",payment_issue
Can you tell me I want to leave a rating.,product_review
Please I want to cancel my order.,cancel_order
Urgent: I need to update my shipping details.,change_address
Please I was charged twice for order ORD6740. ASAP.,payment_issue
I want to know Why is my payment pending? ASAP.,payment_issue
Store opening schedule? thanks.,store_hours
Can you tell me Why can't I apply this discount? now.,coupon_apply
Urgent: Cancel order ORD3776.,cancel_order
"I want to know The t-shirt doesn't fit, want an exchange. now.",exchange_product
I want to know Connect me to an agent. ASAP.,human_escalate
Do you have this in stock?,product_availability
Can I rate the seller?,product_review
I want to know Check if size XXL is there for jeans.,product_availability
I want to know How do I apply for an exchange? now.,exchange_product
Urgent: Unable to sign in. please.,account_login
"Hi, Complaint about the courier in Chennai. now.",complaint_register
"Hi, How much do you charge for shipping? please.",shipping_cost
When will I get my refund?,refund_status
I want to know How can I return order ORD8134?,return_product
Can you tell me Amount deducted from my account erroneously. ASAP.,payment_issue
How many days to deliver to Surat? thanks.,delivery_time
Please How many months of warranty for bag?,warranty_info
Can I exchange size XXL for another size?,exchange_product
Please Gift wrapping cost? ASAP.,gift_wrapping
Can you tell me How can I return order ORD8194?,return_product
I want to know Please abort my delivery for bag. now.,cancel_order
Unable to sign in. thanks.,account_login
Can you tell me Refund status for my returned watch?,refund_status
I want to know Why isn't the OFF36 applying to my cart?,coupon_apply
Cancel this order immediately.,cancel_order
"Hi, Will I receive my order by Monday? thanks.",delivery_time
Bulk discount available? now.,bulk_order
I am tired of talking to a bot. now.,human_escalate
Can you tell me Connect me to an agent. please.,human_escalate
"I want to know Your customer service is bad, I want to complain. thanks.",complaint_register
I want to know Does it come with a guarantee?,warranty_info
"Hi, I am waiting for my refund since tomorrow. thanks.",refund_status
Can you tell me How do I apply for an exchange?,exchange_product
Urgent: My payment is stuck.,payment_issue
Can you tell me I want to swap this item.,exchange_product
"Your customer service is bad, I want to complain.",complaint_register
"Hi, Delivery time for mobile?",delivery_time
"Urgent: I don't need the shoes anymore, cancel. ASAP.",cancel_order
"Hi, Give me the tracking link for my bag.",track_order
Urgent: I want to give 5 stars. please.,product_review
Please Can I cancel the order I placed 15th August?,cancel_order
Can I change shipping address to Delhi? ASAP.,change_address
I want to know I want to track order ORD5692. now.,track_order
I was charged twice for order ORD1767. ASAP.,payment_issue
"Hi, How can I return order ORD5530? thanks.",return_product
Urgent: My coupon code OFF33 is not working. please.,coupon_apply
Change the quantity to 9. please.,order_modify
Please Can you wrap this bag as a gift? thanks.,gift_wrapping
Please Is my order out for delivery?,track_order
Please Store opening schedule? now.,store_hours
Urgent: Let me speak to customer care.,human_escalate
Please I need a smaller size for my mobile. thanks.,exchange_product
Can you tell me How to claim guarantee?,warranty_info
"Hi, Where is my money for order ORD5862? ASAP.",refund_status
Cancel the bag I bought. now.,cancel_order
I want to know Any update on my delivery? now.,track_order
I want to know Can I get a shoes in XL instead?,exchange_product
Change the quantity to 79. please.,order_modify
How do I review this saree? ASAP.,product_review
Delivery cost for jeans? now.,shipping_cost
"Hi, This mobile is defective, I need a return. ASAP.",return_product
"Urgent: This saree is defective, I need a return. thanks.",return_product
Please When will order ORD5510 arrive?,track_order
"Hi, How many days to deliver to Chennai? now.",delivery_time
Urgent: Where can I write a product review? ASAP.,product_review
Show me sarees in stock. please.,product_availability
I want to place a bulk order. ASAP.,bulk_order
Gift wrap this please. please.,gift_wrapping
I want to know Complaint about the courier in Surat. please.,complaint_register
"I want to know The app says payment failed, but my bank says successful. now.",payment_issue
"Hi, Do I have to pay shipping for order ORD3027?",shipping_cost
Is physical damage covered under warranty?,warranty_info
Can you tell me Leave a comment on the product. thanks.,product_review
"I changed my mind, cancel order ORD1115.",cancel_order
Can you tell me Check my refund status for ORD5445. ASAP.,refund_status
I want to know Does it come with a guarantee?,warranty_info
Urgent: Please credit my refund.,refund_status
"Hi, I need to speak to the manager. thanks.",human_escalate
We are looking to purchase large quantities.,bulk_order
Can you tell me Tell me the operating hours. please.,store_hours
Urgent: Has my perfume been shipped? please.,track_order
Urgent: The service for order ORD2954 was terrible. thanks.,complaint_register
Can you tell me Why can't I apply this discount? please.,coupon_apply
Urgent: Can I rate the seller? thanks.,product_review
Urgent: Transfer me to a real person. please.,human_escalate
"Hi, I want gift packaging for order ORD1392. ASAP.",gift_wrapping
I want to leave a rating.,product_review
Can you tell me I need to speak to the manager. ASAP.,human_escalate
Can you tell me Do you have this in stock?,product_availability
"Hi, How to add a product review? please.",product_review
Please What is the estimated delivery time? now.,delivery_time
I want to know How much is shipping to Surat? please.,shipping_cost
"Urgent: The app says payment failed, but my bank says successful. please.",payment_issue
Bulk discount available?,bulk_order
Can I get a customer service representative?,human_escalate
Take my complaint.,complaint_register
"Hi, Are you open 10th October?",store_hours
Unable to sign in.,account_login
Can you tell me What is the status of my order ORD1301? please.,track_order
How to claim guarantee?,warranty_info
Please Availability of mobile please. please.,product_availability
Can I alter my recent order? now.,order_modify
Can you tell me Can I upload photos for my review of perfume?,product_review
Leave a comment on the product. now.,product_review
Are there any units left for shoes? please.,product_availability
Please I forgot my password.,account_login
I want to know Can I exchange size S for another size?,exchange_product
Call me back. thanks.,human_escalate
"Hi, Tell me the operating hours. thanks.",store_hours
Is there an option to send perfume as a gift?,gift_wrapping
"Hi, The jeans doesn't fit, want an exchange.",exchange_product
How do I apply for an exchange? ASAP.,exchange_product
I want to know When will the laptop be back in stock?,product_availability
Stop the shipment for ORD6891. thanks.,cancel_order
Please When do you close today? thanks.,store_hours
Urgent: I need this to be a present. thanks.,gift_wrapping
Can you tell me Exchange POLICY? please.,exchange_product
Urgent: Can you conceal the price tag? ASAP.,gift_wrapping
Please Delivery cost for bag?,shipping_cost
Please Can I get free delivery on laptop? ASAP.,shipping_cost
I want to know I want to give 5 stars. ASAP.,product_review
"Hi, Can you conceal the price tag? please.",gift_wrapping
Why is my payment pending?,payment_issue
I want to know Cancel the bag I bought. now.,cancel_order
I want to track order ORD5479. now.,track_order
I want to cancel my order. now.,cancel_order
"Hi, Your customer service is bad, I want to complain. ASAP.",complaint_register
Are you currently open? now.,store_hours
I want to know How to get bulk pricing?,bulk_order
Please Please abort my delivery for jeans. thanks.,cancel_order
Can I exchange size XL for another size?,exchange_product
Money deducted but order not placed. ASAP.,payment_issue
Can I apply coupon on perfume?,coupon_apply
Urgent: Store timings in Hyderabad? now.,store_hours
"Hi, Are there any units left for watch?",product_availability
"Hi, Are there any units left for mobile?",product_availability
How do I reset my password? ASAP.,account_login
Urgent: Bulk discount available? please.,bulk_order
Urgent: Do you offer gift wrapping? thanks.,gift_wrapping
"Hi, Why isn't the OFF38 applying to my cart? thanks.",coupon_apply
I want to know I need to update my shipping details. ASAP.,change_address
"Hi, Refund status for my returned laptop?",refund_status
"Hi, I paid for the mobile but didn't get confirmation.",payment_issue
"Hi, I want to review order ORD2816.",product_review
Urgent: Is my order out for delivery?,track_order
I want to know How much is shipping to Chennai? now.,shipping_cost
I want to know Do you have this in stock? please.,product_availability
I want to know Refund status for my returned bag? ASAP.,refund_status
Can you tell me Call me back. now.,human_escalate
I want to know Tell me the operating hours. now.,store_hours
Corporate order for our office in Delhi. ASAP.,bulk_order
Urgent: How can I return order ORD4536? thanks.,return_product
"Hi, Payment issue with my recent transaction. thanks.",payment_issue
I want to know Show me laptops in stock.,product_availability
Can you tell me I want to change my delivery address.,change_address
I want to know I want to swap this item. thanks.,exchange_product
My payment is stuck.,payment_issue
Please Leave a comment on the product. now.,product_review
Can you tell me Help me recover my account.,account_login
My t-shirt is under warranty. now.,warranty_info
"I want to know Your customer service is bad, I want to complain. please.",complaint_register
Replace this jeans with a larger one. now.,exchange_product
I want to know I want to send the watch back. ASAP.,return_product
Can you tell me Availability of perfume please. thanks.,product_availability
"Hi, Is the Delhi branch open on Sunday? please.",store_hours
Can you tell me I need to order saree in bulk. thanks.,bulk_order
"Hi, Tell me the operating hours. please.",store_hours
I want to know Why are you charging for delivery? now.,shipping_cost
"Hi, I want gift packaging for order ORD1730. ASAP.",gift_wrapping
"Urgent: I changed my mind, cancel order ORD4946.",cancel_order
What time does your store open? now.,store_hours
"Please The app says payment failed, but my bank says successful. now.",payment_issue
Has the refund been initiated? thanks.,refund_status
"Hi, Is the Jaipur branch open on Sunday? ASAP.",store_hours
Urgent: Any update on my delivery? please.,track_order
Can you tell me Can I get a customer service representative?,human_escalate
Urgent: Exchange my order ORD5809. thanks.,exchange_product
Can I change the attributes of order ORD5928? ASAP.,order_modify
I want this saree. Is it available? please.,product_availability
I want to know Add a gift message. ASAP.,gift_wrapping
Can you tell me Can I get a perfume in S instead? thanks.,exchange_product
Can you tell me Can I buy wholesale?,bulk_order
Can you wrap this saree as a gift?,gift_wrapping
Urgent: What is the status of my order ORD8958? thanks.,track_order
Take back my order. please.,return_product
Schedule a pickup for returning my order.,return_product
How many days for the refund to process?,refund_status
Please I am very disappointed with the kurta. thanks.,complaint_register
How to share my feedback on the perfume? please.,product_review
How to use promo code?,coupon_apply
Remove laptop from order ORD1213. now.,order_modify
Cancel this order immediately. ASAP.,cancel_order
I want to know I need to report an issue with the delivery.,complaint_register
"Hi, Do you provide a discount for 96 pieces of watch?",bulk_order
Urgent: I want to cancel my order. please.,cancel_order
I want to know We are looking to purchase large quantities.,bulk_order
Can you tell me I am tired of talking to a bot. ASAP.,human_escalate
How much do you charge for shipping? please.,shipping_cost
What are your business hours? now.,store_hours
I want to place a bulk order.,bulk_order
Urgent: Is shipping free?,shipping_cost
I want to know Take my complaint. ASAP.,complaint_register
What time does your store open? now.,store_hours
Urgent: Change my address for order ORD7917. please.,change_address
"Hi, When will order ORD6164 arrive? please.",track_order
Urgent: I want to modify order ORD9341. thanks.,order_modify
Please I want to modify order ORD2074.,order_modify
Urgent: When is the expected delivery?,delivery_time
Give me the tracking link for my watch. thanks.,track_order
Can you track my order? thanks.,track_order
Urgent: Is the Delhi branch open on Sunday? now.,store_hours
Please abort my delivery for laptop. now.,cancel_order
Urgent: Help me recover my account. please.,account_login
I want to know I need a smaller size for my bag. thanks.,exchange_product
Urgent: Is physical damage covered under warranty? thanks.,warranty_info
I ordered 82 but I want more. thanks.,order_modify
Please Availability of saree please. ASAP.,product_availability
Promo code OFF40 is not accepted. ASAP.,coupon_apply
I want to know I have a formal complaint to make. now.,complaint_register
Please Are you currently open? ASAP.,store_hours
Please I need to order kurta in bulk.,bulk_order
Availability of kurta please. thanks.,product_availability
I want to know I want to change the items I bought. please.,order_modify
How long does shipping take? now.,delivery_time
Can you tell me Why are you charging for delivery? please.,shipping_cost
I want to modify order ORD4313.,order_modify
Cancel order ORD5314. ASAP.,cancel_order
"Hi, Let me speak to customer care. now.",human_escalate
Do I have to pay shipping for order ORD4980? now.,shipping_cost
Payment failed but amount was debited. please.,payment_issue
I want to know Delivery cost for t-shirt?,shipping_cost
"Hi, I want to send the jeans back.",return_product
Availability of t-shirt please.,product_availability
Send this wrapped to Ahmedabad. now.,gift_wrapping
I want to know Gift wrapping cost? please.,gift_wrapping
Put me through to support staff. ASAP.,human_escalate
Can you tell me Can you conceal the price tag? thanks.,gift_wrapping
"Hi, Give me the tracking link for my kurta. please.",track_order
Has the refund been initiated? thanks.,refund_status
Please How to share my feedback on the saree?,product_review
Can you tell me Change the quantity to 46. please.,order_modify
I want to know What are your business hours? thanks.,store_hours
I want to know Schedule a pickup for returning my order.,return_product
I want to place a bulk order. now.,bulk_order
I want to know Are you currently open?,store_hours
Will I receive my order by Friday?,delivery_time
Please I haven't received my refund yet. now.,refund_status
Please Schedule a pickup for returning my order.,return_product
Can you tell me Take my complaint. now.,complaint_register
Urgent: Call me back. ASAP.,human_escalate
Check if size 8 is there for laptop.,product_availability
"Hi, How to use promo code?",coupon_apply
Can you tell me Can I apply coupon on mobile? thanks.,coupon_apply
Urgent: Human intervention required. now.,human_escalate
Can you tell me Add a gift message.,gift_wrapping
Where is my order?,track_order
Please Take back my order. thanks.,return_product
Warranty period please.,warranty_info
Please Availability of jeans please.,product_availability
Can I get a kurta in 8 instead? please.,exchange_product
Please I paid for the bag but didn't get confirmation. thanks.,payment_issue
Connect me to an agent.,human_escalate
Help me recover my account.,account_login
Please I am waiting for my refund since 10th October. ASAP.,refund_status
Give me the tracking link for my perfume. please.,track_order
Please Schedule a pickup for returning my order. now.,return_product
Please Any update on my delivery? now.,track_order
"Hi, Can you notify me when t-shirt is available? thanks.",product_availability
Let me speak to customer care.,human_escalate
"I don't need the laptop anymore, cancel. now.",cancel_order
Please How do I apply for an exchange?,exchange_product
Can I exchange size L for another size?,exchange_product
Cancel the kurta I bought. now.,cancel_order
Can I get a customer service representative? thanks.,human_escalate
Please How fast can you deliver to Ahmedabad? please.,delivery_time
"Hi, I am waiting for my refund since 2 days ago. ASAP.",refund_status
"Hi, Why is my order delayed? ASAP.",track_order
Please I need to report an issue with the delivery.,complaint_register
Please How long does shipping take? thanks.,delivery_time
Can you tell me I need to speak to the manager. please.,human_escalate
I want to know We are looking to purchase large quantities. ASAP.,bulk_order
Urgent: Account USR845 is inaccessible.,account_login
Can you tell me Human intervention required.,human_escalate
Please Schedule a pickup for returning my order. now.,return_product
"Hi, The discount code OFF40 is showing an error. ASAP.",coupon_apply
Please How many days to deliver to Chennai? ASAP.,delivery_time
"Can you tell me Your customer service is bad, I want to complain. please.",complaint_register
What does the warranty cover? now.,warranty_info
I want to know I need this to be a present. please.,gift_wrapping
Take back my order.,return_product
"Hi, I want to review order ORD3904.",product_review
Urgent: Delivery cost for kurta?,shipping_cost
Has the refund been initiated? now.,refund_status
Is there an option to send t-shirt as a gift? now.,gift_wrapping
"Hi, I want to change my delivery address. please.",change_address
Gift wrap this please. thanks.,gift_wrapping
I want to know Account USR239 is inaccessible. thanks.,account_login
Can you tell me When will the amount reflect in my bank account? thanks.,refund_status
Urgent: What is your return policy? please.,return_product
Urgent: I want to review order ORD9536. now.,product_review
I want to know Will I receive my order by Friday? now.,delivery_time
Can you tell me I am waiting for my refund since Monday. please.,refund_status
Can you tell me Is the perfume available in size L? now.,product_availability
Urgent: Why isn't the OFF36 applying to my cart? ASAP.,coupon_apply
Urgent: Why is my order delayed?,track_order
Can you tell me I forgot to apply my coupon OFF30. now.,coupon_apply
Please Can I return the kurta I bought Monday? ASAP.,return_product
Help me recover my account. thanks.,account_login
Urgent: Are there any units left for perfume? now.,product_availability
I want to talk to a human.,human_escalate
What are the shipping fees? now.,shipping_cost
Can I upload photos for my review of t-shirt? ASAP.,product_review
"Hi, Let me speak to customer care.",human_escalate
"Hi, Why is my payment pending?",payment_issue
Please Can I get a customer service representative? thanks.,human_escalate
"Hi, Where is my order? thanks.",track_order
"Hi, Can you check if my payment went through?",payment_issue
Please When is the expected delivery? now.,delivery_time
"I don't like the saree, arrange for a return.",return_product
Please Replace this shoes with a larger one. please.,exchange_product
"Hi, Deliver this to Pune instead. now.",change_address
"Hi, I changed my mind, cancel order ORD7702. now.",cancel_order
Can you tell me Check if size 8 is there for jeans. please.,product_availability
I am not getting the OTP to login.,account_login
I want to know I want to exchange this shoes. thanks.,exchange_product
"Hi, I want this laptop. Is it available? ASAP.",product_availability
"Hi, Deliver this to Chennai instead. ASAP.",change_address
Urgent: Can I alter my recent order?,order_modify
I want to know I want to talk to a human. now.,human_escalate
Urgent: Delivery time for kurta? ASAP.,delivery_time
Please Change the quantity to 46.,order_modify
Urgent: I am not getting the OTP to login. please.,account_login
"Hi, When will the amount reflect in my bank account? ASAP.",refund_status
Please Change the quantity to 7. please.,order_modify
Please The discount code OFF28 is showing an error.,coupon_apply
Tell me the operating hours. now.,store_hours
